species,decimalLatitude,decimalLongitude,eventDate,week,month,year,month.day,yearday,MonthName,source,family
Ischnura posita,33.7915869,-84.3741269,2022-10-02,39,10,2022,2,275,October,iNAT,Coenagrionidae
Aphylla williamsoni,33.6247205,-84.1711601,2022-10-02,39,10,2022,2,275,October,iNAT,Gomphidae
Miathyria marcella,30.6668340736,-83.3187251371,2022-10-02,39,10,2022,2,275,October,iNAT,Libellulidae
Erythemis simplicicollis,30.6668340736,-83.3187251371,2022-10-02,39,10,2022,2,275,October,iNAT,Libellulidae
Aeshna umbrosa,32.723457215,-84.7983869348,2022-10-02,39,10,2022,2,275,October,iNAT,Aeshnidae
Anax junius,31.153924942,-81.3640670776,2022-10-01,39,10,2022,1,274,October,iNAT,Aeshnidae
Tramea carolina,32.0509945,-81.1048971667,2022-10-01,39,10,2022,1,274,October,iNAT,Libellulidae
Tramea carolina,32.0509861667,-81.104875,2022-10-01,39,10,2022,1,274,October,iNAT,Libellulidae
Libellula vibrans,33.80827,-84.3010033333,2022-10-01,39,10,2022,1,274,October,iNAT,Libellulidae
Anax junius,31.9570369207,-81.0240560146,2022-10-01,39,10,2022,1,274,October,iNAT,Aeshnidae
Argia bipunctulata,32.5583101,-84.3907801,2022-10-01,39,10,2022,1,274,October,iNAT,Coenagrionidae
Argia fumipennis,33.7919546408,-84.3721540614,2022-09-30,39,9,2022,30,273,September,iNAT,Coenagrionidae
Erythemis simplicicollis,31.9060216667,-81.305305,2022-09-29,39,9,2022,29,272,September,iNAT,Libellulidae
Anax junius,32.052075,-81.1035221667,2022-09-29,39,9,2022,29,272,September,iNAT,Aeshnidae
Plathemis lydia,33.8668823242,-83.9225616455,2022-09-29,39,9,2022,29,272,September,iNAT,Libellulidae
Hetaerina titia,33.5865937585,-84.0865428115,2022-09-27,39,9,2022,27,270,September,iNAT,Calopterygidae
Anax junius,31.6390506902,-81.2739453105,2022-09-27,39,9,2022,27,270,September,iNAT,Aeshnidae
Tramea lacerata,31.625382306,-81.289297006,2022-09-27,39,9,2022,27,270,September,iNAT,Libellulidae
Erythemis simplicicollis,34.2897616667,-85.1900716667,2022-09-26,39,9,2022,26,269,September,iNAT,Libellulidae
Enallagma basidens,34.2255172729,-85.1846466064,2022-09-26,39,9,2022,26,269,September,iNAT,Coenagrionidae
Enallagma basidens,34.2255210876,-85.1847610474,2022-09-26,39,9,2022,26,269,September,iNAT,Coenagrionidae
Enallagma basidens,34.2254943848,-85.1847381592,2022-09-26,39,9,2022,26,269,September,iNAT,Coenagrionidae
Enallagma exsulans,34.2254943848,-85.1846847534,2022-09-26,39,9,2022,26,269,September,iNAT,Coenagrionidae
Enallagma basidens,34.2254638672,-85.1847839355,2022-09-26,39,9,2022,26,269,September,iNAT,Coenagrionidae
Anax junius,31.9564224776,-81.024651465,2022-09-26,39,9,2022,26,269,September,iNAT,Aeshnidae
Erythemis simplicicollis,32.7677671985,-81.6341152487,2022-09-25,38,9,2022,25,268,September,iNAT,Libellulidae
Tramea carolina,31.0734919,-81.4114142,2022-09-24,38,9,2022,24,267,September,iNAT,Libellulidae
Pachydiplax longipennis,31.5787506104,-81.8994750977,2022-09-24,38,9,2022,24,267,September,iNAT,Libellulidae
Orthemis ferruginea,31.0700064,-81.4202677,2022-09-24,38,9,2022,24,267,September,iNAT,Libellulidae
Tramea carolina,32.050975,-81.104875,2022-09-24,38,9,2022,24,267,September,iNAT,Libellulidae
Tramea carolina,32.05075,-81.1052166667,2022-09-24,38,9,2022,24,267,September,iNAT,Libellulidae
Orthemis ferruginea,31.9571370518,-81.0245817276,2022-09-24,38,9,2022,24,267,September,iNAT,Libellulidae
Erythemis simplicicollis,31.9570369207,-81.0242598625,2022-09-24,38,9,2022,24,267,September,iNAT,Libellulidae
Stylurus plagiatus,32.4661254883,-84.9945526123,2022-09-23,38,9,2022,23,266,September,iNAT,Gomphidae
Libellula axilena,33.6648555556,-84.1139833333,2022-09-23,38,9,2022,23,266,September,iNAT,Libellulidae
Celithemis ornata,32.565772,-84.406606,2022-09-23,38,9,2022,23,266,September,iNAT,Libellulidae
Anax junius,31.1837402632,-81.487339574,2022-09-23,38,9,2022,23,266,September,iNAT,Aeshnidae
Tramea lacerata,32.0767361667,-81.1039971667,2022-09-22,38,9,2022,22,265,September,iNAT,Libellulidae
Orthemis ferruginea,32.0772445,-81.1037833333,2022-09-22,38,9,2022,22,265,September,iNAT,Libellulidae
Orthemis ferruginea,31.956477095,-81.0246756049,2022-09-22,38,9,2022,22,265,September,iNAT,Libellulidae
Tramea carolina,31.9563724117,-81.0246380539,2022-09-22,38,9,2022,22,265,September,iNAT,Libellulidae
Pachydiplax longipennis,31.9744759777,-81.1465172119,2022-09-21,38,9,2022,21,264,September,iNAT,Libellulidae
Orthemis ferruginea,31.038722007,-81.4192176509,2022-09-21,38,9,2022,21,264,September,iNAT,Libellulidae
Calopteryx maculata,34.27482945,-85.1955935,2022-09-21,38,9,2022,21,264,September,iNAT,Calopterygidae
Plathemis lydia,31.9744759777,-81.1465172119,2022-09-19,38,9,2022,19,262,September,iNAT,Libellulidae
Argia sedula,34.2276611328,-85.1790542603,2022-09-19,38,9,2022,19,262,September,iNAT,Coenagrionidae
Perithemis tenera,34.1741677336,-85.2034568997,2022-09-19,38,9,2022,19,262,September,iNAT,Libellulidae
Aphylla williamsoni,34.174049,-85.203121,2022-09-19,38,9,2022,19,262,September,iNAT,Gomphidae
Aphylla williamsoni,34.1742072302,-85.2034641415,2022-09-19,38,9,2022,19,262,September,iNAT,Gomphidae
Dythemis velox,34.1742247727,-85.2035338789,2022-09-19,38,9,2022,19,262,September,iNAT,Libellulidae
Libellula incesta,34.1742003628,-85.2038235575,2022-09-19,38,9,2022,19,262,September,iNAT,Libellulidae
Pachydiplax longipennis,34.1741153594,-85.2040385815,2022-09-19,38,9,2022,19,262,September,iNAT,Libellulidae
Erythemis simplicicollis,34.1741754485,-85.2039419175,2022-09-19,38,9,2022,19,262,September,iNAT,Libellulidae
Erythemis simplicicollis,34.1741998584,-85.2038520635,2022-09-19,38,9,2022,19,262,September,iNAT,Libellulidae
Perithemis tenera,34.1741922474,-85.2038896595,2022-09-19,38,9,2022,19,262,September,iNAT,Libellulidae
Erythemis simplicicollis,34.1741987489,-85.2038922967,2022-09-19,38,9,2022,19,262,September,iNAT,Libellulidae
Erythemis simplicicollis,34.174188763,-85.2039137543,2022-09-19,38,9,2022,19,262,September,iNAT,Libellulidae
Erythemis simplicicollis,34.174203239,-85.2038279237,2022-09-19,38,9,2022,19,262,September,iNAT,Libellulidae
Ischnura posita,34.188873291,-85.1763687134,2022-09-18,37,9,2022,18,261,September,iNAT,Coenagrionidae
Argia tibialis,34.2308654785,-85.1848983765,2022-09-18,37,9,2022,18,261,September,iNAT,Coenagrionidae
Erythemis simplicicollis,30.9330422535,-83.1979110318,2022-09-18,37,9,2022,18,261,September,iNAT,Libellulidae
Plathemis lydia,34.0617638333,-84.1083611667,2022-09-18,37,9,2022,18,261,September,iNAT,Libellulidae
Argia tibialis,34.2346496582,-85.1693191528,2022-09-18,37,9,2022,18,261,September,iNAT,Coenagrionidae
Erythemis simplicicollis,33.2571096624,-84.0981420502,2022-09-18,37,9,2022,18,261,September,iNAT,Libellulidae
Pachydiplax longipennis,30.7858488788,-83.2229507434,2022-09-17,37,9,2022,17,260,September,iNAT,Libellulidae
Tramea carolina,31.4764158,-81.2408689,2022-09-17,37,9,2022,17,260,September,iNAT,Libellulidae
Ischnura posita,34.0144121983,-84.7790390405,2022-09-17,37,9,2022,17,260,September,iNAT,Coenagrionidae
Pachydiplax longipennis,31.4764158,-81.2408689,2022-09-16,37,9,2022,16,259,September,iNAT,Libellulidae
Anax junius,31.18117,-81.4836633333,2022-09-16,37,9,2022,16,259,September,iNAT,Aeshnidae
Aeshna umbrosa,34.9728082809,-83.9482508652,2022-09-16,37,9,2022,16,259,September,iNAT,Aeshnidae
Boyeria vinosa,34.727957,-84.15335,2022-09-16,37,9,2022,16,259,September,iNAT,Aeshnidae
Macromia illinoiensis,34.2254943848,-85.1847610474,2022-09-16,37,9,2022,16,259,September,iNAT,Corduliidae
Argia fumipennis,34.8639719,-84.324087,2022-09-16,37,9,2022,16,259,September,iNAT,Coenagrionidae
Plathemis lydia,34.2352033333,-83.8687283333,2022-09-16,37,9,2022,16,259,September,iNAT,Libellulidae
Calopteryx maculata,31.1877431645,-81.483017895,2022-09-16,37,9,2022,16,259,September,iNAT,Calopterygidae
Ischnura posita,34.2392166667,-83.86937,2022-09-16,37,9,2022,16,259,September,iNAT,Coenagrionidae
Celithemis eponina,31.2092073357,-81.3812332973,2022-09-15,37,9,2022,15,258,September,iNAT,Libellulidae
Celithemis elisa,33.2813333065,-84.3754947538,2022-09-15,37,9,2022,15,258,September,iNAT,Libellulidae
Calopteryx maculata,34.5289828145,-83.9599573416,2022-09-15,37,9,2022,15,258,September,iNAT,Calopterygidae
Plathemis lydia,33.3850593567,-81.9666290283,2022-09-15,37,9,2022,15,258,September,iNAT,Libellulidae
Libellula luctuosa,34.2247314453,-85.1849441528,2022-09-14,37,9,2022,14,257,September,iNAT,Libellulidae
Libellula luctuosa,34.2243652344,-85.1846313477,2022-09-14,37,9,2022,14,257,September,iNAT,Libellulidae
Libellula luctuosa,34.2242126465,-85.1838378906,2022-09-14,37,9,2022,14,257,September,iNAT,Libellulidae
Libellula luctuosa,34.224609375,-85.1850357056,2022-09-14,37,9,2022,14,257,September,iNAT,Libellulidae
Libellula luctuosa,34.2242126465,-85.1838684082,2022-09-14,37,9,2022,14,257,September,iNAT,Libellulidae
Anax junius,31.1836033333,-81.4817116667,2022-09-14,37,9,2022,14,257,September,iNAT,Aeshnidae
Perithemis tenera,31.1847583333,-81.4833533333,2022-09-14,37,9,2022,14,257,September,iNAT,Libellulidae
Aeshna umbrosa,33.513615399,-84.7347476957,2022-09-14,37,9,2022,14,257,September,iNAT,Aeshnidae
Argia tibialis,34.2257080078,-85.182182312,2022-09-14,37,9,2022,14,257,September,iNAT,Coenagrionidae
Argia tibialis,34.2254943848,-85.182144165,2022-09-14,37,9,2022,14,257,September,iNAT,Coenagrionidae
Argia tibialis,34.2251586914,-85.1821594238,2022-09-14,37,9,2022,14,257,September,iNAT,Coenagrionidae
Argia apicalis,34.2254943848,-85.181968689,2022-09-14,37,9,2022,14,257,September,iNAT,Coenagrionidae
Argia tibialis,34.2254638672,-85.182144165,2022-09-14,37,9,2022,14,257,September,iNAT,Coenagrionidae
Anax junius,31.4833333333,-83.5248416667,2022-09-14,37,9,2022,14,257,September,iNAT,Aeshnidae
Ischnura ramburii,32.7751563131,-84.4077472551,2022-09-13,37,9,2022,13,256,September,iNAT,Coenagrionidae
Anax junius,32.5855098673,-81.4168770131,2022-09-12,37,9,2022,12,255,September,iNAT,Aeshnidae
Libellula vibrans,33.9000511921,-83.3875018101,2022-09-12,37,9,2022,12,255,September,iNAT,Libellulidae
Argia apicalis,33.8200866667,-84.4104383333,2022-09-12,37,9,2022,12,255,September,iNAT,Coenagrionidae
Calopteryx maculata,33.1174584761,-83.1816415907,2022-09-12,37,9,2022,12,255,September,iNAT,Calopterygidae
Pachydiplax longipennis,32.421025,-81.77406333,2022-09-12,37,9,2022,12,255,September,iNAT,Libellulidae
Plathemis lydia,34.897402601,-83.9495784042,2022-09-12,37,9,2022,12,255,September,iNAT,Libellulidae
Argia sedula,33.1180576448,-83.186237375,2022-09-12,37,9,2022,12,255,September,iNAT,Coenagrionidae
Hagenius brevistylus,33.7896116313,-84.4009580884,2022-09-12,37,9,2022,12,255,September,iNAT,Gomphidae
Pachydiplax longipennis,33.4533211483,-84.2118170857,2022-09-11,36,9,2022,11,254,September,iNAT,Libellulidae
Pachydiplax longipennis,33.7891083333,-84.3747166667,2022-09-11,36,9,2022,11,254,September,iNAT,Libellulidae
Libellula incesta,33.6584166667,-82.264275,2022-09-11,36,9,2022,11,254,September,iNAT,Libellulidae
Aphylla williamsoni,32.849162818800004,-83.888605754,2022-09-11,36,9,2022,11,254,September,iNAT,Gomphidae
Ischnura posita,33.7643313585,-84.295281857,2022-09-10,36,9,2022,10,253,September,iNAT,Coenagrionidae
Ischnura posita,33.7642843075,-84.2951985035,2022-09-10,36,9,2022,10,253,September,iNAT,Coenagrionidae
Ischnura posita,34.3555660587,-84.1558393836,2022-09-10,36,9,2022,10,253,September,iNAT,Coenagrionidae
Calopteryx maculata,33.5989800535,-84.3479881287,2022-09-10,36,9,2022,10,253,September,iNAT,Calopterygidae
Pachydiplax longipennis,33.7845314642,-84.3897165972,2022-09-10,36,9,2022,10,253,September,iNAT,Libellulidae
Brachymesia gravida,31.6300386,-81.28572,2022-09-10,36,9,2022,10,253,September,iNAT,Libellulidae
Anax junius,34.0760688782,-84.4942169189,2022-09-10,36,9,2022,10,253,September,iNAT,Aeshnidae
Erythemis simplicicollis,33.9880478889,-83.3823012222,2022-09-10,36,9,2022,10,253,September,iNAT,Libellulidae
Erythemis simplicicollis,33.6649972222,-84.1139,2022-09-09,36,9,2022,9,252,September,iNAT,Libellulidae
Argia fumipennis,33.3867637477,-81.9638141522,2022-09-09,36,9,2022,9,252,September,iNAT,Coenagrionidae
Aphylla williamsoni,33.8176694444,-84.14905,2022-09-08,36,9,2022,8,251,September,iNAT,Gomphidae
Celithemis eponina,32.4087290755,-81.6913370839,2022-09-08,36,9,2022,8,251,September,iNAT,Libellulidae
Anax junius,32.4087290755,-81.6913370839,2022-09-08,36,9,2022,8,251,September,iNAT,Aeshnidae
Tramea lacerata,32.4087290755,-81.6913370839,2022-09-08,36,9,2022,8,251,September,iNAT,Libellulidae
Celithemis fasciata,32.4087290755,-81.6913370839,2022-09-08,36,9,2022,8,251,September,iNAT,Libellulidae
Libellula incesta,32.4087290755,-81.6913370839,2022-09-08,36,9,2022,8,251,September,iNAT,Libellulidae
Perithemis tenera,32.4087290755,-81.6913370839,2022-09-08,36,9,2022,8,251,September,iNAT,Libellulidae
Libellula luctuosa,34.2243652344,-85.1847991943,2022-09-08,36,9,2022,8,251,September,iNAT,Libellulidae
Aphylla williamsoni,32.4087290755,-81.6913370839,2022-09-08,36,9,2022,8,251,September,iNAT,Gomphidae
Pachydiplax longipennis,32.4087290755,-81.6913370839,2022-09-08,36,9,2022,8,251,September,iNAT,Libellulidae
Erythemis simplicicollis,32.4087290755,-81.6913370839,2022-09-08,36,9,2022,8,251,September,iNAT,Libellulidae
Libellula vibrans,34.0010111117,-84.2394416667,2022-09-08,36,9,2022,8,251,September,iNAT,Libellulidae
Argia fumipennis,34.233581543,-85.1824417114,2022-09-08,36,9,2022,8,251,September,iNAT,Coenagrionidae
Argia moesta,34.2272949219,-85.1790390015,2022-09-08,36,9,2022,8,251,September,iNAT,Coenagrionidae
Pachydiplax longipennis,31.2202919807,-84.4794829312,2022-09-08,36,9,2022,8,251,September,iNAT,Libellulidae
Erythemis simplicicollis,32.4675387136,-84.9961848557,2022-09-08,36,9,2022,8,251,September,iNAT,Libellulidae
Erythrodiplax minuscula,33.7683444997,-84.278163,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Plathemis lydia,31.9744759777,-81.1465172119,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Erythrodiplax minuscula,33.9280159722,-83.3073096667,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Perithemis tenera,32.4085873139,-81.6914953439,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Pachydiplax longipennis,33.53272,-84.4385916667,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Libellula incesta,32.4085873139,-81.6914953439,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Pachydiplax longipennis,33.9241328889,-83.3022674722,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Erythemis simplicicollis,33.9247441944,-83.3025729167,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Libellula vibrans,34.1836208644,-83.9861712665,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Libellula vibrans,34.1835799026,-83.9862276675,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Erythemis simplicicollis,32.4085873139,-81.6914953439,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Libellula incesta,34.1836079011,-83.9862073738,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Libellula vibrans,34.183598,-83.98617,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Pachydiplax longipennis,32.4085873139,-81.6914953439,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Celithemis eponina,32.4085873139,-81.6914953439,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Celithemis elisa,32.4085873139,-81.6914953439,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Tramea lacerata,32.4085873139,-81.6914953439,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Celithemis fasciata,32.4085873139,-81.6914953439,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Tramea carolina,32.4085873139,-81.6914953439,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Celithemis amanda,30.803075,-84.8851,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Celithemis amanda,30.803075,-84.885095,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Argia apicalis,32.4675387136,-84.9961848557,2022-09-07,36,9,2022,7,250,September,iNAT,Coenagrionidae
Erythemis simplicicollis,32.467542391,-84.9961848557,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Stylurus plagiatus,32.467542391,-84.9961848557,2022-09-07,36,9,2022,7,250,September,iNAT,Gomphidae
Pachydiplax longipennis,33.7668742,-84.2810103,2022-09-07,36,9,2022,7,250,September,iNAT,Libellulidae
Plathemis lydia,32.0119638833,-84.6769716667,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Erythemis simplicicollis,32.4089790729,-81.6911332407,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Tramea carolina,32.4089790729,-81.6911332407,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Erythemis simplicicollis,33.7989,-84.3164166667,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Celithemis elisa,32.4089790729,-81.6911332407,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Celithemis eponina,32.4089790729,-81.6911332407,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Pachydiplax longipennis,32.4089790729,-81.6911332407,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Libellula incesta,32.4089790729,-81.6911332407,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Perithemis tenera,32.4089790729,-81.6911332407,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Tramea lacerata,32.4089790729,-81.6911332407,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Libellula pulchella,34.291288597,-85.1940246369,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Celithemis eponina,34.2913652805,-85.194039445,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Libellula luctuosa,34.49365,-83.498775,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Pachydiplax longipennis,30.6627672,-82.1385350951,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
Argia translata,32.467542391,-84.9961848557,2022-09-06,36,9,2022,6,249,September,iNAT,Coenagrionidae
Argia apicalis,32.467542391,-84.9961848557,2022-09-06,36,9,2022,6,249,September,iNAT,Coenagrionidae
Celithemis elisa,33.6678417,-84.1196447,2022-09-06,36,9,2022,6,249,September,iNAT,Libellulidae
