family,genus,Species_cleaned,begin_combined,end_combined,early_month,early_date,early_day,late_month,late_date,late_day
Corduliidae,Neurocordulia,Neurocordulia obsoleta,2022-04-01,2022-05-18,April,91,1,May,138,18
Corduliidae,Neurocordulia,Neurocordulia virginiensis,2022-03-23,2022-06-29,March,82,23,June,180,29
Gomphidae,Ophiogomphus,Ophiogomphus australis,2022-03-31,2022-04-06,March,90,31,April,96,6
Gomphidae,Ophiogomphus,Ophiogomphus edmundo,2022-04-07,2022-06-29,April,97,7,June,180,29
Gomphidae,Ophiogomphus,Ophiogomphus howei,2022-05-04,2022-05-08,May,124,4,May,128,8
Gomphidae,Ophiogomphus,Ophiogomphus incurvatus,2022-04-17,2022-11-17,April,107,17,November,321,17
Libellulidae,Orthemis,Orthemis ferruginea,2022-01-01,2022-12-31,January,1,1,December,365,31
Libellulidae,Pachydiplax,Pachydiplax longipennis,2022-03-03,2022-11-20,March,62,3,November,324,20
Libellulidae,Pantala,Pantala flavescens,2022-01-01,2022-12-31,January,1,1,December,365,31
Libellulidae,Pantala,Pantala hymenaea,2022-04-21,2022-10-12,April,111,21,October,285,12
Libellulidae,Perithemis,Perithemis tenera,2022-04-01,2022-11-06,April,91,1,November,310,6
Gomphidae,Phanogomphus,Phanogomphus australis,2022-03-19,2022-05-17,March,78,19,May,137,17
Gomphidae,Phanogomphus,Phanogomphus cavillaris,2022-03-09,2022-04-17,March,68,9,April,107,17
Gomphidae,Phanogomphus,Phanogomphus diminutus,2022-04-13,2022-05-12,April,103,13,May,132,12
Gomphidae,Phanogomphus,Phanogomphus exilis,2022-03-06,2022-07-04,March,65,6,July,185,4
Gomphidae,Phanogomphus,Phanogomphus lividus,2022-03-03,2022-06-22,March,62,3,June,173,22
Gomphidae,Phanogomphus,Phanogomphus minutus,2022-03-18,2022-06-18,March,77,18,June,169,18
Gomphidae,Phanogomphus,Phanogomphus quadricolor,2022-06-09,2022-06-09,June,160,9,June,160,9
Libellulidae,Plathemis,Plathemis lydia,2022-02-26,2022-11-06,February,57,26,November,310,6
Gomphidae,Progomphus,Progomphus alachuensis,2022-04-27,2022-10-11,April,117,27,October,284,11
Gomphidae,Progomphus,Progomphus obscurus,2022-04-01,2022-09-11,April,91,1,September,254,11
Corduliidae,Somatochlora,Somatochlora filosa,2022-05-29,2022-11-05,May,149,29,November,309,5
Corduliidae,Somatochlora,Somatochlora linearis,2022-06-11,2022-09-25,June,162,11,September,268,25
Corduliidae,Somatochlora,Somatochlora tenebrosa,2022-05-27,2022-09-27,May,147,27,September,270,27
Gomphidae,Stenogomphurus,Stenogomphurus consanguis,2022-05-08,2022-09-15,May,128,8,September,258,15
Gomphidae,Stenogomphurus,Stenogomphurus rogersi,2022-05-08,2022-06-27,May,128,8,June,178,27
Gomphidae,Stylogomphus,Stylogomphus albistylus,2022-05-03,2022-08-10,May,123,3,August,222,10
Gomphidae,Stylurus,Stylurus ivae,2022-08-23,2022-09-06,August,235,23,September,249,6
Gomphidae,Stylurus,Stylurus laurae,2022-06-07,2022-10-05,June,158,7,October,278,5
Gomphidae,Stylurus,Stylurus plagiatus,2022-06-04,2022-11-05,June,155,4,November,309,5
Gomphidae,Stylurus,Stylurus scudderi,2022-07-28,2022-10-05,July,209,28,October,278,5
Gomphidae,Stylurus,Stylurus spiniceps,2022-08-09,2022-09-01,August,221,9,September,244,1
Libellulidae,Sympetrum,Sympetrum ambiguum,2022-04-01,2022-11-25,April,91,1,November,329,25
Libellulidae,Sympetrum,Sympetrum corruptum,2022-03-26,2022-12-16,March,85,26,December,350,16
Libellulidae,Sympetrum,Sympetrum rubicundulum,2022-06-22,2022-09-25,June,173,22,September,268,25
Libellulidae,Sympetrum,Sympetrum semicinctum,2022-05-08,2022-07-28,May,128,8,July,209,28
Libellulidae,Sympetrum,Sympetrum vicinum,2022-05-16,2022-12-17,May,136,16,December,351,17
Petaluridae,Tachopteryx,Tachopteryx thoreyi,2022-02-27,2022-09-07,February,58,27,September,250,7
Coenagrionidae,Telebasis,Telebasis byersi,2022-02-18,2022-09-25,February,49,18,September,268,25
Libellulidae,Tramea,Tramea carolina,2022-02-21,2022-12-22,February,52,21,December,356,22
Libellulidae,Tramea,Tramea lacerata,2022-03-20,2022-11-15,March,79,20,November,319,15
Libellulidae,Tramea,Tramea onusta,2022-06-20,2022-09-16,June,171,20,September,259,16
Aeshnidae,Triacanthagyna,Triacanthagyna trifida,2022-08-29,2022-12-15,August,241,29,December,349,15
NA,NA,Epitheca sepia,2022-05-10,2022-07-08,May,130,10,July,189,8
NA,NA,Ophiogomphus mainensis,2022-04-23,2022-06-15,April,113,23,June,166,15
